rep age_class pos neg total
79 4 137939 11483 149422
79 5 123268 4783 128051
79 6 99937 2458 102395
79 7 68240 893 69133
79 8 69444 378 69822
80 0 39101 35316 74417
80 1 60399 13794 74193
80 2 66973 13070 80043
80 3 70341 15865 86206
80 4 131229 18193 149422
80 5 124891 3160 128051
80 6 100453 1942 102395
80 7 68207 926 69133
80 8 69600 222 69822
81 0 39 74378 74417
81 1 33293 40900 74193
81 2 56890 23153 80043
81 3 64096 22110 86206
81 4 132071 17351 149422
81 5 121937 6114 128051
81 6 98922 3473 102395
81 7 68043 1090 69133
81 8 69670 152 69822
82 0 11396 63021 74417
82 1 33718 40475 74193
82 2 34162 45881 80043
82 3 45266 40940 86206
82 4 114661 34761 149422
82 5 119742 8309 128051
82 6 97246 5149 102395
82 7 66953 2180 69133
82 8 69030 792 69822
83 0 10926 63491 74417
83 1 49867 24326 74193
83 2 70172 9871 80043
83 3 71829 14377 86206
83 4 138368 11054 149422
83 5 126650 1401 128051
83 6 101845 550 102395
83 7 69006 127 69133
83 8 69817 5 69822
84 0 19142 55275 74417
84 1 31551 42642 74193
84 2 71914 8129 80043
84 3 74249 11957 86206
84 4 138846 10576 149422
84 5 126094 1957 128051
84 6 101820 575 102395
84 7 68878 255 69133
84 8 69770 52 69822
85 0 11376 63041 74417
85 1 17109 57084 74193
85 2 47028 33015 80043
85 3 57902 28304 86206
85 4 141690 7732 149422
85 5 125531 2520 128051
85 6 101017 1378 102395
85 7 68616 517 69133
85 8 69724 98 69822
86 0 7953 66464 74417
86 1 23242 50951 74193
86 2 26943 53100 80043
86 3 42829 43377 86206
86 4 100833 48589 149422
86 5 112229 15822 128051
86 6 91591 10804 102395
86 7 63516 5617 69133
86 8 67628 2194 69822
87 0 9932 64485 74417
87 1 20024 54169 74193
87 2 41306 38737 80043
87 3 51758 34448 86206
87 4 131301 18121 149422
87 5 125405 2646 128051
87 6 100645 1750 102395
87 7 68651 482 69133
87 8 69662 160 69822
88 0 3217 71200 74417
88 1 43673 30520 74193
88 2 48037 32006 80043
88 3 51357 34849 86206
88 4 114036 35386 149422
88 5 117455 10596 128051
88 6 95592 6803 102395
88 7 65728 3405 69133
88 8 68469 1353 69822
89 0 22485 51932 74417
89 1 43426 30767 74193
89 2 67386 12657 80043
89 3 67582 18624 86206
89 4 130678 18744 149422
89 5 125161 2890 128051
89 6 100516 1879 102395
89 7 68514 619 69133
89 8 69692 130 69822
90 0 3015 71402 74417
90 1 50803 23390 74193
90 2 52472 27571 80043
90 3 54661 31545 86206
90 4 125827 23595 149422
90 5 126278 1773 128051
90 6 101658 737 102395
90 7 68898 235 69133
90 8 69760 62 69822
91 0 19298 55119 74417
91 1 27331 46862 74193
91 2 35085 44958 80043
91 3 45108 41098 86206
91 4 121054 28368 149422
91 5 117859 10192 128051
91 6 96501 5894 102395
91 7 66642 2491 69133
91 8 68919 903 69822
92 0 27207 47210 74417
92 1 52935 21258 74193
92 2 57729 22314 80043
92 3 59956 26250 86206
92 4 132715 16707 149422
92 5 121824 6227 128051
92 6 99075 3320 102395
92 7 67428 1705 69133
92 8 69396 426 69822
93 0 8456 65961 74417
93 1 51417 22776 74193
93 2 46722 33321 80043
93 3 81011 5195 86206
93 4 138345 11077 149422
93 5 126517 1534 128051
93 6 101520 875 102395
93 7 68836 297 69133
93 8 69773 49 69822
94 0 5040 69377 74417
94 1 9953 64240 74193
94 2 25567 54476 80043
94 3 53951 32255 86206
94 4 103249 46173 149422
94 5 114619 13432 128051
94 6 92571 9824 102395
94 7 65837 3296 69133
94 8 68415 1407 69822
95 0 17691 56726 74417
95 1 44605 29588 74193
95 2 44604 35439 80043
95 3 53813 32393 86206
95 4 106856 42566 149422
95 5 122512 5539 128051
95 6 98845 3550 102395
95 7 67745 1388 69133
95 8 69435 387 69822
96 0 7738 66679 74417
96 1 22217 51976 74193
96 2 53468 26575 80043
96 3 63429 22777 86206
96 4 113121 36301 149422
96 5 123785 4266 128051
96 6 99013 3382 102395
96 7 67964 1169 69133
96 8 69603 219 69822
97 0 19451 54966 74417
97 1 32083 42110 74193
97 2 36926 43117 80043
97 3 52950 33256 86206
97 4 127873 21549 149422
97 5 123585 4466 128051
97 6 99100 3295 102395
97 7 67835 1298 69133
97 8 69510 312 69822
98 0 25416 49001 74417
98 1 42103 32090 74193
98 2 67517 12526 80043
98 3 68405 17801 86206
98 4 126649 22773 149422
98 5 125724 2327 128051
98 6 100882 1513 102395
98 7 68820 313 69133
98 8 69713 109 69822
99 0 49410 25007 74417
99 1 72378 1815 74193
99 2 78315 1728 80043
99 3 83987 2219 86206
99 4 147618 1804 149422
99 5 127976 75 128051
99 6 102371 24 102395
99 7 69129 4 69133
99 8 69822 0 69822
100 0 11894 62523 74417
100 1 23960 50233 74193
100 2 55240 24803 80043
100 3 71434 14772 86206
100 4 114208 35214 149422
100 5 117502 10549 128051
100 6 95953 6442 102395
100 7 65955 3178 69133
100 8 68728 1094 69822
101 0 6786 67631 74417
101 1 30263 43930 74193
101 2 37897 42146 80043
101 3 62272 23934 86206
101 4 110390 39032 149422
101 5 121183 6868 128051
101 6 98116 4279 102395
101 7 67462 1671 69133
101 8 69215 607 69822
102 0 2646 71771 74417
102 1 4623 69570 74193
102 2 18517 61526 80043
102 3 26207 59999 86206
102 4 114685 34737 149422
102 5 120207 7844 128051
102 6 97700 4695 102395
102 7 67551 1582 69133
102 8 69077 745 69822
103 0 3963 70454 74417
103 1 30681 43512 74193
103 2 38247 41796 80043
103 3 72778 13428 86206
103 4 137184 12238 149422
103 5 125325 2726 128051
103 6 101111 1284 102395
103 7 68654 479 69133
103 8 69660 162 69822
104 0 11420 62997 74417
104 1 41646 32547 74193
104 2 62779 17264 80043
104 3 79563 6643 86206
104 4 139194 10228 149422
104 5 126751 1300 128051
104 6 101654 741 102395
104 7 68793 340 69133
104 8 69734 88 69822
105 0 38865 35552 74417
105 1 46835 27358 74193
105 2 52141 27902 80043
105 3 65495 20711 86206
105 4 127652 21770 149422
105 5 124312 3739 128051
105 6 100482 1913 102395
105 7 68374 759 69133
105 8 69625 197 69822
106 0 3567 70850 74417
106 1 5959 68234 74193
106 2 18206 61837 80043
106 3 35176 51030 86206
106 4 122316 27106 149422
106 5 118299 9752 128051
106 6 95308 7087 102395
106 7 66236 2897 69133
106 8 68785 1037 69822
107 0 11300 63117 74417
107 1 21504 52689 74193
107 2 20388 59655 80043
107 3 45366 40840 86206
107 4 119542 29880 149422
107 5 125342 2709 128051
107 6 99948 2447 102395
107 7 68570 563 69133
107 8 69722 100 69822
108 0 10638 63779 74417
108 1 25323 48870 74193
108 2 28534 51509 80043
108 3 38865 47341 86206
108 4 127812 21610 149422
108 5 123838 4213 128051
108 6 99667 2728 102395
108 7 67958 1175 69133
108 8 69484 338 69822
109 0 8152 66265 74417
109 1 34606 39587 74193
109 2 50894 29149 80043
109 3 68737 17469 86206
109 4 133127 16295 149422
109 5 126826 1225 128051
109 6 101813 582 102395
109 7 68908 225 69133
109 8 69797 25 69822
110 0 13873 60544 74417
110 1 20394 53799 74193
110 2 48243 31800 80043
110 3 51272 34934 86206
110 4 98798 50624 149422
110 5 118244 9807 128051
110 6 94865 7530 102395
110 7 65499 3634 69133
110 8 68201 1621 69822
111 0 11042 63375 74417
111 1 25586 48607 74193
111 2 54016 26027 80043
111 3 63483 22723 86206
111 4 131962 17460 149422
111 5 124835 3216 128051
111 6 99979 2416 102395
111 7 68417 716 69133
111 8 69534 288 69822
112 0 7939 66478 74417
112 1 15683 58510 74193
112 2 31935 48108 80043
112 3 41491 44715 86206
112 4 122397 27025 149422
112 5 124207 3844 128051
112 6 100215 2180 102395
112 7 68311 822 69133
112 8 69548 274 69822
113 0 2293 72124 74417
113 1 28852 45341 74193
113 2 43481 36562 80043
113 3 43954 42252 86206
113 4 103572 45850 149422
113 5 124300 3751 128051
113 6 99705 2690 102395
113 7 67870 1263 69133
